5890824,21e,11:39am EST (12/26/19)
5836514,21e,5:16pm EST (12/24/19)
5764789,21e,9:59am EST (12/16/19)
5789347,21e,6:04am EST (12/15/19)
5774670,21e,9:39pm EST (12/14/19)
5885907,21e,8:36am EST (12/14/19)
5763652,21e,8:06am EST (12/11/19)
5711969,21e,11:28pm EST (12/10/19)
5754340,21e,1:16am EST (12/06/19)
5724583,21e,5:43am EST (12/05/19)
5710500,21e,4:53am EST (12/04/19)
5709761,21e,8:59pm EST (12/01/19)
5769223,21e,8:48pm EST (11/30/19)
5716826,21e,11:48pm EST (11/27/19)
5682618,21e,11:55pm EST (11/26/19)
5705000,21e,2:12am EST (11/26/19)
5683518,21e,10:49pm EST (11/25/19)
5662441,21e,2:11pm EST (11/21/19)
5677402,21e,1:39pm EST (11/20/19)
5636033,21e,8:49am EST (11/19/19)
5660608,21e,11:38pm EST (11/18/19)
5749329,21e,2:53am EST (11/16/19)
5624383,21e,1:24pm EST (11/10/19)
5597689,21e,11:50pm EST (11/07/19)
5594000,21e,7:02pm EST (11/02/19)
5562432,21e,6:03pm EST (10/30/19)
5601000,21e,10:37pm EST (10/29/19)
5542082,21e,8:09am EST (10/23/19)
5516472,21e,8:01pm EST (10/15/19)
5494332,21e,1:08pm EST (10/13/19)
5503861,21e,10:54am EST (10/12/19)
5493340,21e,12:47am EST (10/12/19)
5453142,21e,2:31pm EST (10/02/19)
5444957,21e,6:30pm EST (10/01/19)
5453493,21e,2:36pm EST (09/30/19)
5436835,21e,2:42pm EST (09/29/19)
5423741,21e,5:06am EST (09/28/19)
5431486,21e,2:40am EST (09/28/19)
5425724,21e,10:26pm EST (09/25/19)
5420333,21e,6:42pm EST (09/24/19)
5408014,21e,12:54pm EST (09/24/19)
5394637,21e,8:24am EST (09/23/19)
5413607,21e,11:38pm EST (09/22/19)
5406597,21e,1:37am EST (09/22/19)
5395676,21e,2:47pm EST (09/21/19)
5370000,21e,7:02am EST (09/21/19)
5387000,21e,10:27pm EST (09/20/19)
5396624,21e,9:51pm EST (09/18/19)
5369147,21e,6:47pm EST (09/13/19)
5333950,21e,11:43pm EST (09/11/19)
5338127,21e,11:26pm EST (09/11/19)
5352084,21e,10:36pm EST (09/10/19)
5328407,21e,3:18am EST (09/10/19)
5344930,21e,2:51pm EST (09/09/19)
5310817,21e,1:17am EST (09/08/19)
5326824,21e,12:04pm EST (09/07/19)
5312363,21e,5:37am EST (09/07/19)
5304857,21e,5:02am EST (09/07/19)
5294690,21e,6:44pm EST (09/06/19)
5396659,21e,1:37pm EST (09/05/19)
5277629,21e,3:44pm EST (09/03/19)
5279397,21e,3:36pm EST (09/02/19)
5282755,21e,10:37pm EST (09/01/19)
5259481,21e,4:26pm EST (08/29/19)
5267547,21e,5:06am EST (08/29/19)
5260584,21e,4:38am EST (08/29/19)
5372780,21e,5:41am EST (08/27/19)
5232240,21e,3:39pm EST (08/25/19)
5237784,21e,12:01pm EST (08/25/19)
5328001,21e,1:39am EST (08/24/19)
5229006,21e,10:18pm EST (08/23/19)
5283100,21e,12:43am EST (08/22/19)
5195713,21e,10:01pm EST (08/18/19)
5193355,21e,5:33am EST (08/17/19)
5100000,21e,3:13am EST (08/13/19)
5121684,21e,8:45pm EST (08/12/19)
5151056,21e,6:37pm EST (08/10/19)
5132429,21e,1:54pm EST (08/09/19)
5122416,21e,2:34pm EST (08/07/19)
5086802,21e,7:30am EST (08/07/19)
5115103,21e,12:14am EST (08/07/19)
5121745,21e,10:56pm EST (08/04/19)
5128391,21e,2:48pm EST (08/04/19)
5194922,21e,7:14am EST (08/03/19)
5092981,21e,2:23am EST (08/02/19)
5055533,21e,11:32am EST (08/01/19)
5058500,21e,12:56pm EST (07/30/19)
5077047,21e,5:20am EST (07/30/19)
5105501,21e,7:35pm EST (07/28/19)
5091410,21e,4:59pm EST (07/28/19)
5036684,21e,9:27pm EST (07/26/19)
5025365,21e,10:26pm EST (07/24/19)
5018959,21e,7:13pm EST (07/23/19)
5050000,21e,12:02pm EST (07/22/19)
5021522,21e,9:29am EST (07/22/19)
5002234,21e,7:56pm EST (07/20/19)
4995528,21e,9:15pm EST (07/19/19)
5000651,21e,5:40pm EST (07/18/19)
5083000,21e,1:23am EST (07/18/19)
4991616,21e,3:54pm EST (07/16/19)
